"Home Team","Away Team","Match Date","Home Goals","Away Goals","H Shots","H Shots - Target","A Shots","A Shots - Target","Division","Season"
"Sunderland","Norwich","17-MAR-13","1","1","16","8","7","3","1","2012"
"Chelsea","West Ham","17-MAR-13","2","0","24","14","15","9","1","2012"
"Wigan","Newcastle","17-MAR-13","2","1","13","10","9","4","1","2012"
"Tottenham","Fulham","17-MAR-13","0","1","12","6","6","2","1","2012"
"Swansea","Arsenal","16-MAR-13","0","2","9","2","15","11","1","2012"
"Man United","Reading","16-MAR-13","1","0","17","8","5","1","1","2012"
"Stoke","West Brom","16-MAR-13","0","0","13","5","9","5","1","2012"
"Everton","Man City","16-MAR-13","2","0","11","5","17","11","1","2012"
"Aston Villa","QPR","16-MAR-13","3","2","10","6","18","11","1","2012"
"Southampton","Liverpool","16-MAR-13","3","1","17","12","8","6","1","2012"
"Liverpool","Tottenham","10-MAR-13","3","2","10","4","15","9","1","2012"
"Newcastle","Stoke","10-MAR-13","2","1","14","6","7","4","1","2012"
"Reading","Aston Villa","09-MAR-13","1","2","10","4","18","7","1","2012"
"Norwich","Southampton","09-MAR-13","0","0","3","2","15","7","1","2012"
"West Brom","Swansea","09-MAR-13","2","1","12","6","9","4","1","2012"
"QPR","Sunderland","09-MAR-13","3","1","15","8","7","3","1","2012"
"Aston Villa","Man City","04-MAR-13","0","1","10","5","20","12","1","2012"
"Tottenham","Arsenal","03-MAR-13","2","1","11","5","10","6","1","2012"
"Southampton","QPR","02-MAR-13","1","2","17","9","5","3","1","2012"
"Chelsea","West Brom","02-MAR-13","1","0","25","19","8","4","1","2012"
"Everton","Reading","02-MAR-13","3","1","18","12","12","6","1","2012"
"Stoke","West Ham","02-MAR-13","0","1","10","2","10","7","1","2012"
"Wigan","Liverpool","02-MAR-13","0","4","15","11","8","7","1","2012"
"Swansea","Newcastle","02-MAR-13","1","0","10","7","14","7","1","2012"
"Sunderland","Fulham","02-MAR-13","2","2","12","6","7","4","1","2012"
"Man United","Norwich","02-MAR-13","4","0","13","10","1","1","1","2012"
"West Ham","Tottenham","25-FEB-13","2","3","8","6","25","16","1","2012"
"Newcastle","Southampton","24-FEB-13","4","2","11","5","11","7","1","2012"
"Man City","Chelsea","24-FEB-13","2","0","15","11","4","1","1","2012"
"Reading","Wigan","23-FEB-13","0","3","7","1","14","8","1","2012"
"West Brom","Sunderland","23-FEB-13","2","1","17","7","10","6","1","2012"
"Norwich","Everton","23-FEB-13","2","1","10","9","11","5","1","2012"
"Fulham","Stoke","23-FEB-13","1","0","20","9","7","2","1","2012"
"QPR","Man United","23-FEB-13","0","2","12","5","13","8","1","2012"
"Arsenal","Aston Villa","23-FEB-13","2","1","24","14","5","3","1","2012"
"Liverpool","Swansea","17-FEB-13","5","0","33","18","4","3","1","2012"
"Liverpool","West Brom","11-FEB-13","0","2","23","14","4","3","1","2012"
"Aston Villa","West Ham","10-FEB-13","2","1","7","2","13","7","1","2012"
"Man United","Everton","10-FEB-13","2","0","10","6","9","8","1","2012"
"Southampton","Man City","09-FEB-13","3","1","13","7","7","4","1","2012"
"Sunderland","Arsenal","09-FEB-13","0","1","12","7","18","9","1","2012"
"Stoke","Reading","09-FEB-13","2","1","13","10","5","4","1","2012"
"Tottenham","Newcastle","09-FEB-13","2","1","16","9","9","7","1","2012"
"Swansea","QPR","09-FEB-13","4","1","13","12","14","8","1","2012"
"Chelsea","Wigan","09-FEB-13","4","1","25","17","13","10","1","2012"
"Norwich","Fulham","09-FEB-13","0","0","15","8","7","5","1","2012"
"West Brom","Tottenham","03-FEB-13","0","1","4","3","21","13","1","2012"
"Man City","Liverpool","03-FEB-13","2","2","9","5","21","12","1","2012"
"Wigan","Southampton","02-FEB-13","2","2","5","3","15","7","1","2012"
"Newcastle","Chelsea","02-FEB-13","3","2","19","13","12","6","1","2012"
"QPR","Norwich","02-FEB-13","0","0","15","7","14","9","1","2012"
"Arsenal","Stoke","02-FEB-13","1","0","15","9","6","2","1","2012"
"Fulham","Man United","02-FEB-13","0","1","15","8","13","8","1","2012"
"Everton","Aston Villa","02-FEB-13","3","3","22","13","8","4","1","2012"
"Reading","Sunderland","02-FEB-13","2","1","9","5","10","6","1","2012"
"West Ham","Swansea","02-FEB-13","1","0","18","9","11","7","1","2012"
"Norwich","Tottenham","30-JAN-13","1","1","8","4","12","7","1","2012"
"Arsenal","Liverpool","30-JAN-13","2","2","14","6","10","5","1","2012"
"Man United","Southampton","30-JAN-13","2","1","11","7","21","10","1","2012"
